,ids,retweet,favorite,inreplyto,friends,screen_name,followers,listed,text,location
2642,383965436,379,0,,33623,nancy_hamm1,35631,6,RT @Doodisgirl: Had a great discussion with my pastor last night about the incredible display of hate the ‘Democrats’ put on during Preside…,"Denton, TX"
2643,3984965609,24,0,,18225,DeeGR8whiteluvr,18000,92,"RT @MichaelT_45: Pretty sure @AOC wasn't in a straight jacket during the #SOTU
address but it sure looks like one and truthfully wouldn't b…",Depths of the Mariana Trench
2644,772906825058492417,394,0,,2025,KennethSebasta,2037,26,"RT @TrumperSeaney: L&amp;G I did NOT doctor this picture. Have you ever wondered what @RepAOC  would look like in a straight jacket? 😅😭🤣
#Socia…","Lakeland, FL"
2645,271590345,4,0,,633,KenRoberts112,114,2,RT @tan123: Because CAGW is the most massive scientific fraud in human history. #SOTU https://t.co/rvsyomMKDE,"Halifax, Nova Scotia"
2646,2550575082,63,0,,11796,sudischuricht,11629,366,"RT @Chris_A10_USA: WATCH: @limbaugh s shout-out to @PamelaGeller s #Democrat #SOTU shrews, “Discarded #Kleenexes ” https://t.co/wkiV8Hnk7T",
2647,1322669060,38899,0,,558,Jsmcneil6Susan,163,0,"RT @RealCandaceO: They won’t applaud 5 million people lifted off of food stamps. 
They won’t applaud historically low black unemployment.…",
2648,2887063658,315,0,,70,Lovey_1234,26,0,"RT @AshleyW838: What do you get when #PresidentTrump delivers an incredibly #Sucessful live televised #SOTU?

✔️76% Approval Rating by the…","British Columbia, Canada"
2649,482652599,1452,0,,5300,matthewhawks1,4849,5,"RT @realTylerZed: Trump’s #SOTU speech was so good that this is what he was “fact checked” on:

Trump said troops have been fighting in the…",Midwest concrete contractor 
2650,2513353080,532,0,,4868,sfahey_imp,3237,14,"RT @george_capen: .@realDonaldTrump here's some Nielsen rating data for you.

Total MSNBC viewers:
Trump #SOTU               4.6M
Abrams re…",Central Florida
2651,253976639,91,0,,56,SurlyBeige,334,1,"RT @tictoc: ICYMI: Without speaking a word, here's how Nancy Pelosi's response to Trump's State of the Union address took the spotlight  #S…","various basements, and futons"
2652,330345733,308,0,,3742,Adriel012,424,2,RT @JoyAnnReid: Speaker Pelosi during Trump’s “build a wall” presentation. #SOTU https://t.co/DVSPzC23Ot,"Raleigh, North Carolina "
2653,17263058,41466,0,,211,jclarson,609,14,"RT @AOC: Why should I be “spirited and warm” for this embarrassment of a #SOTU?

Tonight was an unsettling night for our country. The presi…","Rochester, New York"
2654,29068389,294,0,,4942,USARising2017,2384,24,RT @deanbc1: I thought President Trump was incredible tonight in the #SOTU Even better news is the liberal CBS News polling: 76% of America…,"Tulsa, OK"
2655,763916861411102720,38899,0,,807,Raven3327,714,42,"RT @RealCandaceO: They won’t applaud 5 million people lifted off of food stamps. 
They won’t applaud historically low black unemployment.…","Georgia, USA"
2656,1029447077108109314,6480,0,,472,JackARoe14,47,0,"RT @TeaPainUSA: 1. Another sealed indictment today  
2. Cohen testimony suddenly postponed
3. Butina boyfriend indicted
4. 7000 pages of tr…",
2657,578700888,38726,0,,165,reVamp_ing,34,4,"RT @MichaelSkolnik: Parkland Shooter:
Not an immigrant
Tree Of Life Shooter:
Not an immigrant.
Las Vegas Shooter:
Not an immigrant
Borderli…",On my way there...
2658,3300704317,13646,0,,8843,oldmarine65,8112,8,RT @FLOTUS: It was an honor to be joined by our inspiring guests at this year’s #SOTU.  Each of them has a remarkable story to tell.  Thank…,"Nevada, USA"
