screen_name,retweeted_user,content_type
allseeingjesus,mindfad,RT
roberts7714,RealCandaceO,RT
Belgian_Blue,declanganley,RT
Niorvis1,VP,RT
blissparsons1,Franklin_Graham,RT
sadquebecois,IlhanMN,RT
MissTree18,Jim_Jordan,RT
ImmoralReport,MaquisMaya,RT
mskaro_2000,Jim_Jordan,RT
paige989,MartyIrby,RT
alex00469,GOP,RT
TheStedMan1,,Tweet
tigerbrad975,AllenWest,RT
McChesneyA1,johncardillo,RT
Ironrodgirl,V_actually,RT
slyestofthekats,ABC,RT
LyneAs1,TIME,RT
HaydeeParra1,VOANoticias,RT
OrtonScotty,ClintEastwoodLA,RT
ProgressiveJon1,PrisonPlanet,RT
Niorvis1,VP,RT
Sherry40614670,Lrihendry,RT
SPbsrker,GrrrGraphics,RT
pharohscat,,Tweet
garell99,TeaPainUSA,RT
kenmf1,RealCandaceO,RT
gcare17,RhondaKundrat,RT
francesme,TinRepublicOfTX,RT
purepurpleme59,RealCandaceO,RT
ecrire831,MichaelSkolnik,RT
JAMA_current,,Tweet
galleydiana5,cain_nate,RT
Trump_Muslim,newtgingrich,RT
VictoriaPrudkov,FLOTUS,RT
PaulWal64767572,FLOTUS,RT
LowkeyJenny_,UNITEDWEDREAM,RT
madysenhope,spicykezzinnugg,RT
LeavingDancer2,heyitsCarolyn,RT
grrbarkwoof,DanCrenshawTX,RT
Heckel_n_Jeckel,Jim_Jordan,RT
DAVEtheDEPLORAB,RealCandaceO,RT
DeeDarwell,KTHopkins,RT
USEmbassyCairo,,Tweet
BlazeTV,,Tweet
VerumEstLiberta,dbongino,RT
HeyGenevieve,realDonaldTrump,RT
TonyCannon4,SenTedCruz,RT
BigOrange_2015,PolitixGal,RT
memehamad13,s7785,RT
PeggerPegger,heyitsCarolyn,RT
DustSpeckDwllr,SpeakerPelosi,RT
p1webb,PrisonPlanet,RT
Angebica,spicykezzinnugg,RT
TJMountain2,heyitsCarolyn,RT
luvdapats,RealJamesWoods,RT
MetalSolace,IlhanMN,RT
RJNelson13,EricTrump,RT
omgvikki,CMBNOFEAR,RT
fromatrueheart,BrentBozell,RT
Iaminthebasket,heyitsCarolyn,RT
DR5150,CarpeDonktum,RT
givehillhell,Sundncefn,RT
mdeutschmeister,Kindhearted2015,RT
Crow30Darkness,RealCandaceO,RT
kjacy51,RealCandaceO,RT
hughespdavid,BrentBozell,RT
1RealBadHombre,SaysHummingbird,RT
DelphiaMld16,Franklin_Graham,RT
JohnBooth2017,TulsiGabbard,RT
BRADRush12,RealCandaceO,RT
Cdeeman123,heyitsCarolyn,RT
mustbfreealways,TimRunsHisMouth,RT
twnkltwinkle,Kindhearted2015,RT
riotwomennn,,Tweet
howanice,MagaAngeles,RT
MC_Mad_Man,GOP,RT
bettiejess,SpeakerPelosi,RT
ConstitutionLo1,realTylerZed,RT
CarloThePirate,,Tweet
DustSpeckDwllr,Emma4Change,RT
plantlady293,NewRightNetwork,RT
DavidWFredricks,Franklin_Graham,RT
OneInAMullen,pattonoswalt,RT
krist117,RVAwonk,RT
JCharles791,pastormarkburns,RT
joemac1114,The_UnSilent_,RT
PerttuHytonen,CarpeDonktum,RT
Duster399,RealCandaceO,RT
BlueAndUnafraid,RealCandaceO,RT
moniqueharr,,Tweet
Lavonne49242314,fatherhoops,RT
LaBagporte,realTylerZed,RT
EdwardCalame,DonnaWR8,RT
toddwider,suburbanlemon,RT
Kleaverofficial,,Tweet
BeaufordBe,votevets,RT
vivrelord,KamalaHarris,RT
LaiyouINg1,SamanthaGoldm19,RT
raydogg779,factcheckdotorg,RT
SavvyHuman,JessieJaneDuff,RT
TLCampb3,Lrihendry,RT
lgskeie,Franklin_Graham,RT
jck53,DLoesch,RT
Laurelily63,Lrihendry,RT
jck53,GrahamAllen_1,RT
jmarch27,BundyGP,RT
okstatesierra,latinovictoryus,RT
717_446,KellyannePolls,RT
PennyLDuncan,Franklin_Graham,RT
DanKlink1892,NewRightNetwork,RT
Sean_PA,voxdotcom,RT
Jessmills_1,IlhanMN,RT
ReginaLiparoto,Denlesks,RT
beachnut758,amyklobuchar,RT
WEWALKINPOWER,RagingGayCons,RT
hutchins_hutch,,Tweet
Justice_Tribe,EricTrump,RT
michael_pistis,RealCandaceO,RT
NewsForThinkers,realDonaldTrump,RT
NCdeplorables,realTylerZed,RT
Framus4,jko410,RT
TLCampb3,GOP,RT
CraigNoice,Ilhan,RT
baker_alex,SpecNews1SoCal,RT
MarilynLouise5,voxdotcom,RT
MarcusAWinn,RepDavids,RT
Gotta_B_Free,RealDrGina,RT
CarlosdelRio7,mr_kennethcole,RT
Rep_Hunter,,Tweet
Wellman_nateW,RealCandaceO,RT
PiinkSp4rkles,intheMatrixxx,RT
p1webb,AmyMek,RT
christine_shade,amyklobuchar,RT
MarilynB777,pollsofpolitics,RT
McChesneyA1,EricTrump,RT
pencook_mariel,bryanbehar,RT
omgyaystars,AOC,RT
LifeRTd,IlhanMN,RT
TeresaMHill4,TheRoot,RT
sheryl_mascio,RealCandaceO,RT
RickPettit3,heyitsCarolyn,RT
reubenrr,RealCandaceO,RT
theseconddb,amyklobuchar,RT
ckensingtn,TimRunsHisMouth,RT
lifecoachcathy,BrentBozell,RT
ambinc1,CaliDeplorable,RT
Guiller92839869,GOP,RT
vswenson8790,AmandiOnAir,RT
lcwiring,RealCandaceO,RT
WEWALKINPOWER,RagingGayCons,RT
evshock,LPNational,RT
aranzadiazz,UNITEDWEDREAM,RT
wasteoftym,BrentBozell,RT
MaquisMaya,,Tweet
AngeliSainti,LilaGraceRose,RT
SherriHiggins63,DanCrenshawTX,RT
nonaWlynwinni,DanCrenshawTX,RT
Niorvis1,VP,RT
NewsForThinkers,realDonaldTrump,RT
CultrHack,CultrHack,RT
slma8121,EricTrump,RT
gringo_suave,RealCandaceO,RT
MKRiker2,,Tweet
akdesiree1,RealCandaceO,RT
seankelly014,Left_Can_Win,RT
crispy1163,John_KissMyBot,RT
occupycorruptDC,occupycorruptDC,RT
deepwood78,Reflog_18,RT
neenee_annette,TheSharpEdge1,RT
equi_noctis,votevets,RT
imtutwo1,RVAwonk,RT
paisleytears,cain_nate,RT
warhamster10,GOPLeader,RT
JOHNSONLANELL3,TheView,RT
dleogallag,adamclanton,RT
gohatt,FLOTUS,RT
_Benjamin_Dover,Denlesks,RT
amx1,DLoesch,RT
EBAchitown,RealCandaceO,RT
constanceregin,RealJamesWoods,RT
RevSueRN,RealKyleMorris,RT
blondieesq,pattonoswalt,RT
jcsjws,SaintJrich,RT
TracyJHoban,FLOTUS,RT
AdakCharley,SpeakerPelosi,RT
mcquethy,realannapaulina,RT
ramonaqt,GabbyGiffords,RT
caselvis58,AllenWest,RT
WEWALKINPOWER,RagingGayCons,RT
NewsPressNYC,tictoc,RT
Redgtosamurai,RealCandaceO,RT
hauser_st,fussballinguist,RT
crazee_rdz,RealCandaceO,RT
rgarner0451,Emma4Change,RT
Oldgaffer_Doug,RealCandaceO,RT
Ben_Davis4ua,DanCrenshawTX,RT
OneInAMullen,MichaelSkolnik,RT
svizzerams,SenSchumer,RT
OrtizBrennan,TelemundoNews,RT
cwalldarnaby,pollsofpolitics,RT
Cb59Carolina75,RealJamesWoods,RT
lynnd87,krassenstein,RT
clogsdon52,KamalaHarris,RT
Mbrown0620,Doodisgirl,RT
47Adnil,RVAwonk,RT
skynnergoin,GOP,RT
pigggielou,Tombx7M,RT
Lauriedarln,amyklobuchar,RT
spdustin,,Tweet
LaBagporte,HLAurora63,RT
a2burns,OutFrontCNN,RT
zohreh_zmg,MazJobrani,RT
ferwen,KamalaHarris,RT
oolong_owo,KamalaHarris,RT
jrmosier3,,Tweet
the_granners,TimRunsHisMouth,RT
CashSteph19,RealCandaceO,RT
Clayteller1,RealCandaceO,RT
DavidDeSoto2,RealCandaceO,RT
LoadingLife30,CarpeDonktum,RT
fayruz1968,RealCandaceO,RT
whccolumbia,ColumbiaWomens,RT
rhonda_devries,Michelle4NM,RT
DaveThreed,RealCandaceO,RT
pearce_lori,TrinityResists,RT
m1n0uche,AllenWest,RT
KennethSebasta,RealCandaceO,RT
YankeeRunnerLV,DanCrenshawTX,RT
KKatMiss,HLAurora63,RT
Shadz66Shadz6t6,Shadz66Shadz6t6,RT
MarleneStillwe2,SenTedCruz,RT
diane_avant,KimStrassel,RT
buzzskipper,MrsMogul,RT
MachinistsUnion,,Tweet
gerezuk232,AdotGif,RT
JOHNTPOTTS1,RealCandaceO,RT
JaxCAMaurer,GOP,RT
peek_r,RealCandaceO,RT
manymoremiles,TrinityResists,RT
rayred8,mikebwonder,RT
AlanRugg1,RealCandaceO,RT
LoisWeston2,Doodisgirl,RT
gbroh10,HLAurora63,RT
COMBATWARRIOR5,MichaelT_45,RT
